word,translation
Away,Lejos
Baby,Bebé
Bark,Ladrar
Bite,Morder
Blue,Azul
Black,Negro
Bone,Hueso
Bowl,Tazón
Brown,Marrón
Cake,Pastel
Camp,Campamento
Chat,Charlar
Chair,Silla
Clip,Clip
Club,Club
Corn,Maíz
Cute,Lindo
Duck,Pato
Easy,Fácil
Fair,Justo
Fast,Rápido
Fire,Fuego
Fish,Pez
Food,Comida
Game,Juego
Gift,Regalo
Good,Bueno
Ice,Hielo
Iron,Plancha
Jump,Saltar
List,Lista
Lost,Perdido
Mask,Máscara
Move,Mover
Name,Nombre
Neck,Cuello
Park,Parque
Play,Jugar
Rain,Lluvia
Salt,Sal
Shop,Tienda
Shirt,Camisa
Sing,Cantar
Slow,Lento
Song,Canción
Star,Estrella
Step,Paso
Store,Tienda
Table,Mesa
Task,Tarea
Team,Equipo
Time,Tiempo
Turn,Girar
Wave,Ola
Warm,Cálido
Work,Trabajo
Yarn,Hilo
Zone,Zona
After,Después
Apple,Manzana
Bread,Pan
Cloud,Nube
Dance,Bailar
Earth,Tierra
Glove,Guante
Heart,Corazón
House,Casa
Lemon,Limón
Mango,Mango
Mouth,Boca
Night,Noche
Piano,Piano
Pink,Rosa
Plant,Planta
Paint,Pintura
Race,Carrera
Shoe,Zapato
Skirt,Falda
Sugar,Azúcar
Swing,Columpio
Sweet,Dulce
Tasty,Sabroso
Voice,Voz
White,Blanco
World,Mundo
Story,Historia
Sleep,Dormir
Shape,Forma
Smile,Sonrisa
Crown,Corona
Kite,Cometa
Label,Etiqueta
Peach,Durazno
Vowel,Vocal
Brave,Valiente
Candy,Dulce
Clear,Claro
Dream,Sueño
Knees,Rodillas
Lunar,Lunar
March,Marzo
Power,Poder
Rocks,Rocas
Vocal,Vocal
Word,Palabra
Yellow,Amarillo
Zebra,Cebra
Boats,Barcos
Mine,Mío
Nice,Bonito
Push,Empujar
Water,Agua
blank,En blanco
frost,Escarcha
print,Imprimir
stamp,Sello
trust,Confianza
Alert,Alerta
Chill,Frío
Crack,Grieta
Dive,Bucear
Dust,Polvo
Flash,Flash
Hint,Pista
Hope,Esperanza
Lamp,Lámpara
Melt,Derretir
Nest,Nido
Shut,Cerrar
Slice,Rebanada
Spin,Girar
Tail,Cola
Tear,Lágrima
April,Abril
June,Junio
July,Julio
